Country,Withdrawal,Aver,SuccessRate, 
Portugal,2.00,11.72,1.00,
Portugal,2.50,9.94,1.00,
Portugal,3.00,8.23,0.98,
Portugal,3.50,6.57,0.94,
Portugal,4.00,4.88,0.84,
Portugal,4.50,3.44,0.70,
Portugal,5.00,2.40,0.54,
Portugal,5.50,1.45,0.37,
Portugal,6.00,0.84,0.22,
Portugal,6.50,0.46,0.12,
Portugal,7.00,0.23,0.07,
Portugal,7.50,0.10,0.03,
Portugal,8.00,0.06,0.02,
Portugal,8.50,0.02,0.01,
Portugal,9.00,0.01,0.00,
Portugal,9.50,0.01,0.00,
Russia,0.00,32.64,1.00,
Russia,0.50,30.40,1.00,
Russia,1.00,27.85,1.00,
Russia,1.50,25.24,1.00,
Russia,2.00,22.46,1.00,
Russia,2.50,20.47,0.99,
Russia,3.00,17.63,0.98,
Russia,3.50,15.15,0.95,
Russia,4.00,13.01,0.90,
Russia,4.50,10.38,0.82,
Russia,5.00,8.45,0.73,
Russia,5.50,6.69,0.61,
Russia,6.00,4.90,0.49,
Russia,6.50,3.75,0.37,
Russia,7.00,2.74,0.27,
Russia,7.50,1.87,0.20,
Russia,8.00,1.24,0.13,
Russia,8.50,0.98,0.09,
Russia,9.00,0.66,0.07,
Russia,9.50,0.51,0.04,
SouthAfrica,0.00,34.26,1.00,
SouthAfrica,0.50,31.67,1.00,
SouthAfrica,1.00,29.40,1.00,
SouthAfrica,1.50,26.59,1.00,
SouthAfrica,2.00,24.15,1.00,
SouthAfrica,2.50,21.26,1.00,
SouthAfrica,3.00,18.93,1.00,
SouthAfrica,3.50,16.43,1.00,
SouthAfrica,4.00,13.62,1.00,
SouthAfrica,4.50,11.08,0.97,
SouthAfrica,5.00,8.54,0.92,
SouthAfrica,5.50,6.24,0.82,
SouthAfrica,6.00,4.21,0.66,
SouthAfrica,6.50,2.68,0.48,
SouthAfrica,7.00,1.46,0.30,
SouthAfrica,7.50,0.75,0.17,
SouthAfrica,8.00,0.38,0.09,
SouthAfrica,8.50,0.16,0.04,
SouthAfrica,9.00,0.07,0.02,
SouthAfrica,9.50,0.03,0.01,
Spain,0.00,17.16,1.00,
Spain,0.50,15.44,1.00,
Spain,1.00,13.80,1.00,
Spain,1.50,12.15,1.00,
Spain,2.00,10.50,1.00,
Spain,2.50,8.83,1.00,
Spain,3.00,7.19,1.00,
Spain,3.50,5.58,0.97,
Spain,4.00,3.94,0.88,
Spain,4.50,2.59,0.72,
Spain,5.00,1.47,0.50,
Spain,5.50,0.76,0.30,
Spain,6.00,0.34,0.14,
Spain,6.50,0.14,0.06,
Spain,7.00,0.05,0.02,
Spain,7.50,0.01,0.01,
Spain,8.00,0.01,0.00,
Spain,8.50,0.00,0.00,
Spain,9.00,0.00,0.00,
Spain,9.50,0.00,0.00,
Sweden,0.00,28.20,1.00,
Sweden,0.50,25.67,1.00,
Sweden,1.00,23.57,1.00,
Sweden,1.50,21.18,1.00,
Sweden,2.00,19.08,1.00,
Sweden,2.50,16.64,1.00,
Sweden,3.00,14.35,1.00,
Sweden,3.50,12.08,0.99,
Sweden,4.00,10.07,0.97,
Sweden,4.50,7.77,0.93,
Sweden,5.00,5.74,0.83,
Sweden,5.50,3.92,0.69,
Sweden,6.00,2.40,0.50,
Sweden,6.50,1.36,0.32,
Sweden,7.00,0.69,0.18,
Sweden,7.50,0.35,0.09,
Sweden,8.00,0.17,0.05,
Sweden,8.50,0.07,0.02,
Sweden,9.00,0.02,0.01,
Sweden,9.50,0.01,0.00,
Switzerland,0.00,21.35,1.00,
Switzerland,0.50,19.40,1.00,
Switzerland,1.00,17.48,1.00,
Switzerland,1.50,15.53,1.00,
Switzerland,2.00,13.81,1.00,
Switzerland,2.50,11.74,1.00,
Switzerland,3.00,9.85,1.00,
Switzerland,3.50,7.94,0.99,
Switzerland,4.00,6.19,0.95,
Switzerland,4.50,4.42,0.86,
Switzerland,5.00,2.80,0.68,
Switzerland,5.50,1.65,0.48,
Switzerland,6.00,0.84,0.28,
Switzerland,6.50,0.37,0.14,
Switzerland,7.00,0.15,0.06,
Switzerland,7.50,0.06,0.02,
Switzerland,8.00,0.02,0.01,
Switzerland,8.50,0.01,0.00,
Switzerland,9.00,0.01,0.00,
Switzerland,9.50,0.00,0.00,
UK,0.00,24.78,1.00,
UK,0.50,22.74,1.00,
UK,1.00,20.78,1.00,
UK,1.50,18.67,1.00,
UK,2.00,16.49,1.00,
UK,2.50,14.39,1.00,
UK,3.00,12.29,1.00,
UK,3.50,10.32,1.00,
UK,4.00,8.22,0.98,
UK,4.50,6.05,0.93,
UK,5.00,4.15,0.80,
UK,5.50,2.67,0.60,
UK,6.00,1.53,0.40,
UK,6.50,0.73,0.23,
UK,7.00,0.36,0.12,
UK,7.50,0.14,0.05,
UK,8.00,0.05,0.02,
UK,8.50,0.03,0.01,
UK,9.00,0.01,0.00,
UK,9.50,0.01,0.00,
US,0.00,30.14,1.00,
US,0.50,27.64,1.00,
US,1.00,25.28,1.00,
US,1.50,22.83,1.00,
US,2.00,20.68,1.00,
US,2.50,18.07,1.00,
US,3.00,15.94,1.00,
US,3.50,13.51,1.00,
US,4.00,11.12,0.99,
US,4.50,8.75,0.96,
US,5.00,6.62,0.89,
US,5.50,4.50,0.75,
US,6.00,2.84,0.57,
US,6.50,1.65,0.37,
US,7.00,0.83,0.22,
US,7.50,0.39,0.11,
US,8.00,0.15,0.05,
US,8.50,0.06,0.02,
US,9.00,0.02,0.01,
US,9.50,0.01,0.00,
WorldMinusUS,0.00,33.16,1.00,
WorldMinusUS,0.50,30.47,1.00,
WorldMinusUS,1.00,27.89,1.00,
WorldMinusUS,1.50,25.12,1.00,
WorldMinusUS,2.00,22.80,1.00,
WorldMinusUS,2.50,20.34,1.00,
WorldMinusUS,3.00,17.77,1.00,
WorldMinusUS,3.50,15.33,1.00,
WorldMinusUS,4.00,12.94,0.99,
WorldMinusUS,4.50,10.40,0.97,
WorldMinusUS,5.00,7.95,0.90,
WorldMinusUS,5.50,5.63,0.78,
WorldMinusUS,6.00,3.78,0.62,
WorldMinusUS,6.50,2.28,0.43,
WorldMinusUS,7.00,1.29,0.27,
WorldMinusUS,7.50,0.64,0.15,
WorldMinusUS,8.00,0.33,0.08,
WorldMinusUS,8.50,0.16,0.04,
WorldMinusUS,9.00,0.06,0.02,
WorldMinusUS,9.50,0.03,0.01,
